CounterReadingID;CounterID_ASTA;SequenceNumber;StartTime;EndTime;Visits;ASTA_Counters.CounterID_PAVE;ASTA_Counters.Name_ASTA;ASTA_Counters.InstallationDate;ASTA_Counters.NationalParkCode;ASTA_Counters.Municipality;ASTA_Counters.RegionalUnit;ASTA_Counters.RegionalEntity;PAVE_Counters.Globalid;PAVE_Counters.Name;PAVE_Counters.Manager;PAVE_Counters.AdditionalInfo;PAVE_Counters.CoordinateNorth;PAVE_Counters.CoordinateEast
263454;1099;113;24/07/2013 04:00;24/07/2013 05:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263455;1099;114;24/07/2013 05:00;24/07/2013 06:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263456;1099;115;24/07/2013 06:00;24/07/2013 07:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263457;1099;116;24/07/2013 07:00;24/07/2013 08:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263458;1099;117;24/07/2013 08:00;24/07/2013 09:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263465;1099;124;24/07/2013 15:00;24/07/2013 16:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263466;1099;125;24/07/2013 16:00;24/07/2013 17:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263467;1099;126;24/07/2013 17:00;24/07/2013 18:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263468;1099;127;24/07/2013 18:00;24/07/2013 19:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263469;1099;128;24/07/2013 19:00;24/07/2013 20:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
263470;1099;129;24/07/2013 20:00;24/07/2013 21:00;0;190927;Varkaankuru 2013;12/07/2013 00:00;34361;273;800;800022;{47664E5F-0E50-4F64-B000-77D8A61BC5BA};Röhkömukka Varkaankurulle kävijälaskuri (kesä);J. Ylläsjärvi;EcoCounter;7500782;381166
